,expected_goals_(xg)_diff,total_shots_diff,big_chances_diff,big_chances_missed_diff,accurate_passes_diff,accurate_passes_percentage_diff,fouls_committed_diff,offsides_diff,corners_diff,shots_off_target_diff,shots_on_target_diff,blocked_shots_diff,hit_woodwork_diff,shots_inside_box_diff,shots_outside_box_diff,xg_open_play_diff,xg_set_play_diff,xg_on_target_(xgot)_diff,passes_diff,own_half_diff,opposition_half_diff,accurate_long_balls_diff,accurate_long_balls_percentage_diff,accurate_crosses_diff,accurate_crosses_percentage_diff,throws_diff,yellow_cards_diff,red_cards_diff,tackles_won_diff,tackles_won_percentage_diff,interceptions_diff,blocks_diff,clearances_diff,keeper_saves_diff,duels_won_diff,ground_duels_won_diff,ground_duels_won_percentage_diff,aerial_duels_won_diff,aerial_duels_won_percentage_diff,successful_dribbles_diff,successful_dribbles_percentage_diff,score_diff,posession_diff,odds_sum,xg_penalty_diff,odds_predict,std_0,std_1,std_2,med_0,med_1,med_2,cv_odds,target
908,0.17,0.0,0.0,0.0,39.0,0.07000000000000006,1.0,0.0,3.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,0.03,0.13999999999999999,0.09,42.0,14.0,25.0,3.0,0.13,3.0,0.27,6.0,0.0,0.0,-4.0,-0.07999999999999996,1.0,1.0,-7.0,0.0,-8.0,-6.0,-0.19999999999999996,-2.0,-0.08000000000000002,1.0,-0.5,1.0,12.0,1.0666666666666667,,1,0.7877174400964466,0.17836477166062617,1.4360439485692011,5.0,1.25,15.0,1.0034542417195282,1
909,-0.49,-4.0,-1.0,-1.0,-43.0,-0.050000000000000044,-1.0,1.0,-6.0,-1.0,-1.0,-2.0,0.0,-4.0,0.0,-0.4,-0.09000000000000001,0.36000000000000004,-44.0,-42.0,-1.0,14.0,0.22,-1.0,0.030000000000000027,2.0,0.0,0.0,-5.0,-0.42000000000000004,0.0,2.0,-6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07,1.0,-12.0,1.0694444444444444,,1,0.2566558439276656,0.0247913845933713,0.362859017617954,3.6,1.5,8.0,0.7596474666868357,0
910,0.23,1.0,0.0,0.0,-38.0,-0.039999999999999925,7.0,0.0,-2.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.35000000000000003,-0.12,0.12000000000000001,-43.0,-23.0,-15.0,-9.0,-0.08999999999999997,0.0,0.009999999999999981,-4.0,0.0,0.0,6.0,-0.29000000000000004,1.0,0.0,3.0,-1.0,8.0,5.0,0.13999999999999996,3.0,0.10000000000000003,2.0,0.58,0.0,-12.0,1.0825396825396825,,0,0.03736472514531821,0.060590468844398095,0.16827793398291616,2.25,2.5,4.2,0.35566020206473764,0
911,0.15000000000000002,0.0,1.0,1.0,6.0,0.020000000000000018,2.0,4.0,2.0,1.0,-1.0,0.0,0.0,-1.0,1.0,0.32,-0.15999999999999998,-0.22000000000000003,3.0,-9.0,15.0,1.0,0.010000000000000009,2.0,-0.07,0.0,-1.0,0.0,4.0,0.36000000000000004,2.0,0.0,-1.0,-1.0,-4.0,-6.0,-0.15999999999999998,2.0,0.34,-4.0,-0.09999999999999998,-2.0,2.0,1.071256038647343,,2,0.23570226039551584,3.398679215248663,0.003571246369629024,9.0,23.0,1.0909090909090908,1.0058434811449384,2
912,0.83,7.0,2.0,1.0,114.0,0.15000000000000002,0.0,2.0,1.0,0.0,6.0,1.0,0.0,4.0,3.0,0.86,-0.03,0.6699999999999999,105.0,-21.0,135.0,2.0,0.25999999999999995,2.0,-0.22999999999999998,8.0,0.0,0.0,-6.0,-0.39,-1.0,-2.0,-13.0,-4.0,-7.0,-4.0,-0.12000000000000005,-3.0,-0.24,2.0,0.09999999999999998,1.0,26.0,1.0637254901960784,0.0,1,0.595949418443009,0.013082663205159006,5.0286377113323555,8.5,1.0909090909090908,34.0,1.1880973520564344,0
913,0.33,-1.0,1.0,1.0,-61.0,-0.039999999999999925,-5.0,1.0,0.0,-2.0,1.0,0.0,0.0,0.0,-1.0,-0.15,0.47,-0.11000000000000001,-66.0,-35.0,-26.0,-5.0,-0.22000000000000003,1.0,0.13,-3.0,-1.0,0.0,6.0,0.23999999999999994,2.0,0.0,2.0,-1.0,9.0,10.0,0.24,-1.0,-0.08000000000000002,-1.0,-0.17,0.0,-16.0,1.0700483091787438,,0,0.045047554442059226,0.08004518081217876,0.0536142393031047,2.25,2.875,3.6,0.23230384021443326,0
914,0.58,2.0,2.0,1.0,32.0,0.05999999999999994,4.0,-1.0,4.0,3.0,-1.0,0.0,1.0,5.0,-3.0,0.6599999999999999,-0.06999999999999999,0.54,18.0,20.0,12.0,-1.0,0.010000000000000009,4.0,0.5,-4.0,1.0,0.0,2.0,0.39999999999999997,1.0,0.0,0.0,1.0,3.0,0.0,,2.0,1.0,5.0,0.29000000000000004,0.0,4.0,1.0824016563146999,,0,0.07098540227145397,0.0924510233812315,0.05676217210169826,2.3,3.75,2.625,0.2631330659057861,2
915,-0.020000000000000018,-2.0,0.0,-1.0,-16.0,-0.019999999999999907,2.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,2.0,-4.0,0.43000000000000005,-0.45,-0.78,-14.0,10.0,-26.0,-4.0,0.030000000000000027,-1.0,0.04999999999999999,-6.0,1.0,0.0,-1.0,0.42000000000000004,-8.0,1.0,6.0,3.0,-5.0,-6.0,-0.15999999999999998,1.0,0.06000000000000005,2.0,0.07,2.0,-4.0,1.0628228395923498,,1,0.7118052168020874,0.006667541155640915,4.040901989517797,9.5,1.0833333333333333,29.0,1.0853300301006268,1
916,-0.45,0.0,-1.0,-1.0,-10.0,0.009999999999999898,3.0,0.0,-1.0,1.0,-3.0,2.0,0.0,-1.0,1.0,-0.45,,-1.1099999999999999,-15.0,-2.0,-8.0,-12.0,-0.26000000000000006,0.0,0.03,1.0,0.0,0.0,2.0,0.36000000000000004,-1.0,-2.0,3.0,3.0,-13.0,-8.0,-0.21999999999999997,-5.0,-0.56,-1.0,-0.8,0.0,-4.0,1.0740165631469978,,0,0.028063201039709596,0.13091814888332248,0.04623362814278661,2.1,4.0,2.875,0.3193396208872199,2
917,1.33,0.0,2.0,0.0,83.0,0.06999999999999995,-1.0,2.0,1.0,0.0,2.0,-2.0,0.0,1.0,-1.0,1.3,0.03,1.31,85.0,28.0,55.0,-2.0,0.08000000000000002,1.0,0.010000000000000009,2.0,0.0,0.0,-2.0,-0.36,-4.0,2.0,4.0,0.0,4.0,4.0,0.15999999999999998,0.0,-0.08000000000000002,2.0,0.67,2.0,18.0,1.0387957908666388,,1,2.7535835237417845,0.004141832379646078,15.304901175767194,23.0,1.02,67.0,1.1073443385350639,1
918,-0.5,-1.0,-1.0,-1.0,-12.0,-0.020000000000000018,5.0,-1.0,-2.0,-2.0,0.0,1.0,0.0,-2.0,1.0,0.1,-0.59,0.31,-10.0,-3.0,-9.0,18.0,0.15000000000000002,-3.0,-0.6,-6.0,0.0,0.0,3.0,0.34,3.0,-1.0,-4.0,1.0,2.0,-3.0,-0.09000000000000002,5.0,0.72,2.0,0.4,1.0,-4.0,1.0846273291925466,,1,0.05549400665915653,0.018928739129161643,0.21057673317257353,3.5,1.6,5.75,0.5744124561447613,1
