,Expected goals (xG),Total shots,Big chances,Big chances missed,Accurate passes,Accurate passes percentage,Fouls committed,Offsides,Corners,Shots off target,Shots on target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,xG open play,xG set play,xG on target (xGOT),Passes,Own half,Opposition half,Accurate long balls,Accurate long balls percentage,Accurate crosses,Accurate crosses percentage,Throws,Yellow cards,Red cards,Tackles won,Tackles won percentage,Interceptions,Blocks,Clearances,Keeper saves,Duels won,Ground duels won,Ground duels won percentage,Aerial duels won,Aerial duels won percentage,Successful dribbles,Successful dribbles percentage,score,posession,0,1,2,final_score,odds_predict
35,-1.6099999999999999,-4.0,-5.0,-2.0,39.0,0.039999999999999925,1.0,-1.0,-1.0,1.0,-6.0,1.0,0.0,-4.0,0.0,-0.88,0.05000000000000002,-3.9,37.0,33.0,6.0,-3.0,0.08999999999999997,0.0,-0.28,2.0,1.0,0.0,1.0,0.17000000000000004,-3.0,-1.0,-7.0,2.0,1.0,0.0,0.0,1.0,0.12000000000000005,1.0,0.25,-4.0,10.0,176.0,301.0,1.025,2,2
36,1.1,10.0,3.0,1.0,142.0,0.17000000000000004,2.0,-2.0,7.0,4.0,4.0,2.0,2.0,8.0,2.0,1.1099999999999999,-0.020000000000000004,2.63,135.0,-13.0,155.0,12.0,0.44999999999999996,2.0,-0.37,-3.0,-1.0,0.0,2.0,0.2,-2.0,-2.0,-15.0,-2.0,3.0,0.0,0.0,3.0,0.19999999999999996,1.0,0.06000000000000005,2.0,32.0,67.0,1.0036666666666667,251.0,1,1
37,-0.26,-1.0,-1.0,-1.0,25.0,-0.030000000000000027,-2.0,-1.0,0.0,-1.0,2.0,-2.0,0.0,0.0,-1.0,-0.2,-0.06,0.05,37.0,8.0,17.0,4.0,-0.06,1.0,0.14,-5.0,-1.0,0.0,0.0,-0.13999999999999996,-3.0,3.0,-2.0,-2.0,0.0,4.0,0.10000000000000003,-4.0,-0.39999999999999997,-1.0,0.13,0.0,8.0,2.4,3.6,2.625,0,0
38,0.12999999999999998,-1.0,0.0,0.0,-83.0,-0.07000000000000006,1.0,1.0,-2.0,-3.0,1.0,1.0,0.0,2.0,-3.0,0.12999999999999998,,0.58,-91.0,-86.0,3.0,3.0,0.17000000000000004,-2.0,-0.23,-7.0,0.0,0.0,3.0,-0.09999999999999998,0.0,-1.0,-3.0,-1.0,9.0,8.0,0.26,1.0,0.08000000000000002,1.0,0.17000000000000004,0.0,-26.0,2.45,2.6,3.6,0,0
39,0.49,3.0,1.0,1.0,163.0,0.10999999999999999,-1.0,1.0,0.0,3.0,-2.0,2.0,2.0,3.0,0.0,0.56,-0.07,-0.44,156.0,135.0,28.0,2.0,0.27,2.0,0.32999999999999996,1.0,0.0,0.0,-1.0,0.28,-6.0,-2.0,0.0,1.0,-5.0,-5.0,-0.12000000000000005,0.0,0.0,2.0,-0.16999999999999998,-1.0,30.0,3.2,2.25,3.25,0,1
40,0.07,-3.0,0.0,0.0,13.0,-0.010000000000000009,-1.0,1.0,0.0,0.0,0.0,-3.0,0.0,1.0,-4.0,0.07,0.0,0.3,19.0,49.0,-36.0,3.0,-0.06999999999999995,1.0,0.23,8.0,1.0,0.0,-3.0,0.029999999999999916,-7.0,3.0,4.0,-1.0,-5.0,-5.0,-0.12000000000000005,0.0,0.0,-1.0,-0.09,0.0,4.0,2.7,1.9,5.5,2,1
41,0.020000000000000018,1.0,1.0,1.0,-203.0,-0.17000000000000004,3.0,-1.0,-2.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.24,0.25,0.030000000000000027,-197.0,-92.0,-111.0,-3.0,-0.16999999999999998,-1.0,0.030000000000000027,-2.0,0.0,0.0,2.0,-0.5,-1.0,0.0,8.0,-1.0,5.0,3.0,0.08000000000000002,2.0,0.34,-3.0,-0.25,0.0,-42.0,2.9,7.0,1.7,2,2
42,0.28,5.0,0.0,0.0,10.0,0.0,1.0,-5.0,2.0,3.0,1.0,1.0,0.0,5.0,0.0,0.22,0.85,0.21999999999999997,13.0,8.0,2.0,-1.0,0.050000000000000044,-2.0,-0.51,3.0,0.0,0.0,0.0,-0.4,-2.0,-2.0,-5.0,-1.0,-6.0,4.0,0.15999999999999998,-10.0,-0.8400000000000001,3.0,0.75,0.0,4.0,3.1,2.3,2.9,1,1
43,1.0,4.0,1.0,0.0,18.0,0.04999999999999993,-2.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.19,0.020000000000000004,0.76,13.0,17.0,1.0,-3.0,0.07000000000000006,-1.0,-0.17,5.0,1.0,0.0,5.0,0.19999999999999996,2.0,0.0,1.0,1.0,14.0,10.0,0.34,4.0,0.34,2.0,0.55,1.0,4.0,4.45,1.3,10.5,1,1
44,-1.1700000000000002,0.0,-2.0,0.0,59.0,0.04999999999999993,2.0,2.0,1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,-0.47000000000000003,0.1,-1.3800000000000001,59.0,36.0,23.0,-2.0,0.09000000000000002,1.0,0.07999999999999999,7.0,2.0,0.0,2.0,-0.13,-6.0,1.0,-1.0,-3.0,5.0,6.0,0.12000000000000005,-1.0,-0.10000000000000003,2.0,0.4,-2.0,12.0,9.25,26.0,1.0833333333333333,2,2
45,-1.0299999999999998,-2.0,-3.0,-2.0,-133.0,-0.14,6.0,0.0,-2.0,-2.0,-2.0,2.0,0.0,-2.0,0.0,-0.24000000000000002,,-1.64,-128.0,-23.0,-110.0,0.0,0.0,-3.0,-0.27,3.0,0.0,0.0,0.0,-0.19999999999999996,4.0,-2.0,-2.0,2.0,-6.0,-10.0,-0.26,4.0,0.24,-8.0,-0.5199999999999999,-1.0,-30.0,6.0,21.0,1.1818181818181819,2,2
46,-0.39999999999999997,-1.0,-1.0,-1.0,36.0,0.039999999999999925,3.0,1.0,3.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-0.48999999999999994,0.1,-0.35,31.0,13.0,23.0,9.0,0.25999999999999995,1.0,-0.06,5.0,0.0,0.0,0.0,-0.25,0.0,-1.0,-3.0,0.0,1.0,-4.0,-0.12000000000000005,5.0,0.42,-1.0,-0.16,-1.0,6.0,3.4,7.0,1.5916666666666668,2,2
47,-0.35000000000000003,2.0,-2.0,-2.0,147.0,0.15000000000000002,-5.0,-3.0,1.0,0.0,-2.0,4.0,0.0,1.0,1.0,0.020000000000000018,-0.38,-0.5700000000000001,147.0,59.0,88.0,23.0,0.36,1.0,-0.14,0.0,0.0,0.0,-2.0,0.7,5.0,-4.0,-9.0,2.0,-2.0,-3.0,-0.10000000000000003,1.0,0.12,2.0,0.0,0.0,36.0,2.4,3.9,2.5,2,0
48,-0.2600000000000001,2.0,-1.0,0.0,-48.0,-0.029999999999999916,-2.0,4.0,1.0,-1.0,1.0,2.0,0.0,1.0,1.0,0.2,0.33,-0.94,-49.0,-72.0,24.0,-13.0,-0.27,0.0,-0.14999999999999997,4.0,0.0,0.0,9.0,0.35,9.0,-2.0,-4.0,-1.0,16.0,13.0,0.37999999999999995,3.0,0.28,2.0,0.47000000000000003,0.0,-10.0,2.6,2.25,4.0,0,1
49,0.6799999999999999,-2.0,1.0,1.0,-95.0,-0.10999999999999999,1.0,0.0,1.0,-1.0,1.0,-2.0,0.0,0.0,-2.0,-0.11000000000000001,,1.17,-98.0,-71.0,-24.0,5.0,0.12,0.0,-0.07,0.0,-2.0,0.0,-1.0,-0.13,-1.0,2.0,2.0,-1.0,-4.0,-5.0,-0.13999999999999996,1.0,0.13999999999999996,-3.0,-0.09000000000000008,0.0,-24.0,2.8,5.0,1.9090909090909092,0,2
50,-0.019999999999999962,5.0,0.0,0.0,38.0,0.030000000000000027,2.0,1.0,-3.0,1.0,2.0,2.0,0.0,3.0,2.0,0.31,-0.32,0.09,35.0,4.0,34.0,4.0,0.12,1.0,0.32,-1.0,0.0,0.0,1.0,-0.21000000000000008,-2.0,-2.0,17.0,-2.0,6.0,4.0,0.10000000000000003,2.0,0.19999999999999996,1.0,0.22999999999999998,0.0,6.0,2.375,2.55,3.8,0,0
51,-0.06,1.0,0.0,0.0,-55.0,-0.05999999999999994,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.14,0.08,0.09,-52.0,-5.0,-50.0,-8.0,-0.04999999999999999,0.0,0.07999999999999999,-3.0,0.0,0.0,5.0,0.5,-2.0,0.0,1.0,-1.0,6.0,3.0,0.08000000000000002,3.0,0.34,4.0,0.42,0.0,-12.0,2.2,3.8,2.8,1,0
52,0.19000000000000006,2.0,0.0,0.0,-128.0,-0.19000000000000006,7.0,-2.0,2.0,-1.0,1.0,2.0,0.0,-3.0,5.0,0.09999999999999998,0.09,0.17000000000000015,-126.0,-76.0,-52.0,-3.0,-0.29999999999999993,-1.0,-0.25,-2.0,0.0,0.0,4.0,0.19999999999999996,0.0,-2.0,-4.0,0.0,3.0,-1.0,-0.050000000000000044,4.0,0.20999999999999996,2.0,0.16999999999999998,1.0,-30.0,3.0,2.2,3.6,1,1
53,0.99,6.0,0.0,-1.0,31.0,0.05999999999999994,-1.0,-1.0,0.0,4.0,1.0,1.0,0.0,4.0,2.0,1.07,-0.08,1.75,23.0,33.0,-2.0,12.0,0.32999999999999996,1.0,0.09999999999999998,-2.0,0.0,0.0,-5.0,-0.20999999999999996,1.0,-1.0,5.0,1.0,4.0,-1.0,-0.040000000000000036,5.0,0.37999999999999995,2.0,-0.23000000000000004,2.0,6.0,34.0,1.01,126.0,1,1
54,0.58,1.0,1.0,0.0,-90.0,-0.040000000000000036,3.0,1.0,-1.0,0.0,3.0,-2.0,0.0,1.0,0.0,0.64,-0.06,0.86,-89.0,-36.0,-54.0,7.0,-0.07000000000000006,-3.0,-0.33,-2.0,-2.0,0.0,-1.0,-0.26999999999999996,0.0,2.0,3.0,-1.0,-1.0,-2.0,-0.050000000000000044,1.0,0.19999999999999996,0.0,0.16999999999999998,2.0,-18.0,21.0,1.0225,67.0,1,1
55,-0.29,-1.0,-1.0,-1.0,-138.0,-0.15000000000000002,5.0,0.0,-2.0,0.0,-1.0,0.0,0.0,2.0,-3.0,-0.09000000000000002,-0.19,-0.05,-133.0,-73.0,-65.0,1.0,-0.019999999999999962,1.0,0.37000000000000005,6.0,0.0,0.0,0.0,-0.09999999999999998,-4.0,1.0,4.0,0.0,-8.0,-11.0,-0.28,3.0,0.42,-9.0,-0.56,0.0,-28.0,2.45,5.699999999999999,2.0,2,2
56,0.29,3.0,1.0,1.0,168.0,0.20999999999999996,-8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.08,0.21000000000000002,0.6100000000000001,168.0,109.0,59.0,4.0,0.08999999999999997,0.0,-0.2,-3.0,-3.0,0.0,-1.0,0.25000000000000006,-1.0,-1.0,-3.0,-1.0,7.0,7.0,0.18,0.0,-0.030000000000000027,5.0,0.33,0.0,42.0,2.25,2.230769230769231,5.5,1,1
57,0.31,1.0,1.0,1.0,75.0,0.09999999999999998,-8.0,1.0,1.0,4.0,-1.0,-2.0,0.0,-1.0,2.0,0.31999999999999995,-0.01,0.16,79.0,48.0,27.0,-8.0,-0.14999999999999997,-4.0,-0.36,3.0,-2.0,0.0,-2.0,0.04999999999999999,1.0,0.0,4.0,1.0,4.0,6.0,0.14999999999999997,-2.0,-0.06000000000000005,4.0,-0.19,0.0,20.0,2.25,3.0,3.3,2,0
58,0.36,1.0,0.0,-1.0,95.0,0.04999999999999993,-1.0,-2.0,-3.0,0.0,2.0,-1.0,0.0,-1.0,2.0,0.38,-0.03,2.12,101.0,30.0,65.0,-3.0,-0.010000000000000009,2.0,0.15999999999999998,4.0,0.0,0.0,1.0,-0.37,-3.0,1.0,1.0,1.0,16.0,7.0,0.34,9.0,0.36000000000000004,1.0,0.23,3.0,18.0,41.0,1.005,126.0,1,1
