,Corners,Fouls Committed,Fouls Wons,Goals,Offsides,Pass Completion,Possesion,Red Cards,Shot Attempts,Shots Blocked,Total Passes,Total Shots on Target,Total xG,Under Pressure,Yellow Cards,fh_winner,target
189,-1.0,0.0,4.0,1.0,0.0,0.08499999999999996,0.332,0.0,-6.0,-4.0,180.0,-3.0,-0.5718385089999998,-0.273,0.0,1,1
190,1.0,-1.0,1.0,0.0,2.0,-0.0030000000000000027,0.16999999999999998,1.0,-5.0,0.0,100.0,-2.0,-1.104498221,-0.166,-1.0,0,0
191,-1.0,1.0,-1.0,-1.0,1.0,-0.08600000000000008,-0.29000000000000004,0.0,-5.0,-2.0,-142.0,-2.0,-0.535239575,0.056999999999999995,1.0,2,2
192,3.0,-2.0,1.0,2.0,-1.0,0.28,0.472,0.0,7.0,1.0,246.0,2.0,1.348335391,-0.188,0.0,1,1
193,0.0,0.0,0.0,2.0,-1.0,0.14600000000000002,0.40199999999999997,0.0,2.0,-1.0,210.0,2.0,1.1622946754999999,-0.019000000000000003,0.0,1,1
194,-2.0,0.0,-1.0,0.0,2.0,-0.248,-0.434,0.0,-4.0,0.0,-205.0,-1.0,-0.23510202699999988,0.13900000000000004,-1.0,0,0
195,3.0,-1.0,-1.0,0.0,1.0,0.07499999999999996,0.28400000000000003,0.0,3.0,2.0,176.0,2.0,-0.433991394,-0.044999999999999984,1.0,0,0
196,-1.0,4.0,-6.0,1.0,3.0,-0.04499999999999993,-0.15199999999999997,0.0,-2.0,1.0,-76.0,-4.0,0.030980468499999914,-0.008999999999999994,1.0,1,0
197,-3.0,-1.0,1.0,0.0,1.0,-0.17699999999999994,-0.542,0.0,-3.0,1.0,-323.0,-6.0,-0.20095476999999998,0.195,2.0,0,0
198,1.0,-4.0,2.0,0.0,-1.0,0.28,0.52,0.0,0.0,1.0,298.0,0.0,0.04949108399999991,-0.16999999999999998,-1.0,0,0
199,-2.0,2.0,-3.0,0.0,0.0,-0.07999999999999996,-0.39599999999999996,0.0,1.0,0.0,-230.0,1.0,0.1968546209999999,0.017999999999999988,-1.0,0,2
200,0.0,1.0,0.0,1.0,-1.0,0.040000000000000036,0.16199999999999998,0.0,10.0,3.0,94.0,1.0,1.204139717,-0.03799999999999999,0.0,1,1
201,-1.0,-2.0,0.0,1.0,-3.0,0.122,0.324,0.0,-1.0,0.0,189.0,0.0,0.427705127,-0.11199999999999999,-3.0,1,1
202,-2.0,1.0,-3.0,0.0,-5.0,-0.123,-0.338,0.0,-4.0,0.0,-159.0,-3.0,-0.38985247999999995,0.046999999999999986,2.0,0,2
203,-1.0,0.0,1.0,-1.0,2.0,-0.061999999999999944,-0.10000000000000003,0.0,2.0,1.0,-42.0,-3.0,-0.46427295249999995,-0.05499999999999999,2.0,2,0
204,3.0,-1.0,0.0,1.0,-1.0,0.07599999999999996,0.32,0.0,7.0,3.0,175.0,3.0,0.568876081,-0.249,0.0,1,1
205,-2.0,3.0,-4.0,-1.0,1.0,-0.07399999999999995,-0.30600000000000005,0.0,-3.0,-1.0,-179.0,-1.0,0.4592723770000001,-0.08199999999999999,1.0,2,2
206,1.0,-1.0,-1.0,3.0,0.0,0.10899999999999999,0.252,0.0,4.0,2.0,110.0,0.0,1.4448804819999999,0.056999999999999995,0.0,1,1
